Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
647.983,-0.1015625,0.65625,-0.03027344,0.09375,0.03125,-0.125,0.06835938,0.7246094,-0.1650391,0.21875,-0.0625,0,187.8855,180.2463
648.0176,-0.1015625,0.65625,-0.03027344,0.09375,0.03125,-0.125,0.06835938,0.7246094,-0.1650391,0.21875,-0.0625,0,187.8855,180.2438
648.0469,-0.1015625,0.65625,-0.03027344,0.09375,0.03125,-0.125,0.06835938,0.7246094,-0.1650391,0.21875,-0.0625,0,187.8855,180.2438
648.0831,-0.1015625,0.65625,-0.03027344,0.09375,0.03125,-0.125,-0.06542969,0.7705078,-0.1923828,0.46875,0,0.21875,188.0842,180.5724
648.118,-0.05078125,0.6259766,-0.03125,1.75,-0.6875,0.03125,0.01660156,0.6894531,-0.1074219,-0.0625,-0.8125,0,188.0842,180.5724
648.15,-0.05078125,0.6259766,-0.03125,1.75,-0.6875,0.03125,0.01660156,0.6894531,-0.1074219,-0.0625,-0.8125,0,188.0842,180.5724
648.183,-0.1582031,0.7304688,-0.1875,0.53125,-0.625,0.15625,0.03417969,0.7353516,-0.078125,-0.125,0.40625,0.21875,188.0179,180.7668
648.2187,-0.1582031,0.7304688,-0.1875,0.53125,-0.625,0.15625,0.03417969,0.7353516,-0.078125,-0.125,0.40625,0.21875,187.9789,180.7668
648.2481,-0.1582031,0.7304688,-0.1875,0.53125,-0.625,0.15625,0.03417969,0.7353516,-0.078125,-0.125,0.40625,0.21875,187.9789,180.7668
648.2842,-0.1386719,0.6962891,-0.04199219,0.34375,-0.25,0.59375,0.03417969,0.7353516,-0.078125,-0.125,0.40625,0.21875,187.9789,180.7066
