Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
358.6249,0.1640625,0.9462891,0.4794922,-24.625,7.5625,-2.8125,-0.0625,0.9550781,0.04589844,-26.4375,5.40625,12.625,159.5033,189.9381
358.6594,0.1640625,0.9462891,0.4794922,-24.625,7.5625,-2.8125,-0.015625,0.9042969,0.09179688,-24.6875,3.21875,10.71875,159.5033,185.6741
358.6945,0.1640625,0.9462891,0.4794922,-24.625,7.5625,-2.8125,0.03515625,0.8076172,0.1806641,-22.71875,-0.1875,9.375,158.041,188.6245
358.7261,0.1103516,0.8574219,0.4296875,-23.40625,11.875,-5.3125,0.001953125,0.8027344,0.1445313,-22.46875,6.75,8.28125,158.041,188.6245
358.7595,0.1103516,0.8574219,0.4296875,-23.40625,11.875,-5.3125,0.001953125,0.8027344,0.1445313,-22.46875,6.75,8.28125,158.041,190.4357
358.796,0.1103516,0.8574219,0.4296875,-23.40625,11.875,-5.3125,0.001953125,0.8027344,0.1445313,-22.46875,6.75,8.28125,158.041,190.4357
358.8263,-0.04492188,0.8583984,0.3876953,-21,2.96875,-3.75,0.001953125,0.8027344,0.1445313,-22.46875,6.75,8.28125,158.041,190.4357
358.8598,0.1386719,0.8447266,0.4873047,-18.8125,-8.125,-3.1875,0.06054688,0.7158203,0.1855469,-22.34375,7.375,5.53125,155.8949,190.4357
358.8949,0.1386719,0.8447266,0.4873047,-18.8125,-8.125,-3.1875,0.06054688,0.7158203,0.1855469,-22.34375,7.375,5.53125,153.592,190.8682
358.9281,0.1386719,0.8447266,0.4873047,-18.8125,-8.125,-3.1875,0.06347656,0.8925781,0.2939453,-20.71875,-11.0625,9.6875,153.592,190.8682
358.9597,0.02050781,0.7783203,0.5351563,-20.03125,1.9375,-4.15625,0.0546875,0.7587891,0.2753906,-25.09375,2.25,6.46875,153.592,190.2432
358.9975,0.02050781,0.7783203,0.5351563,-20.03125,1.9375,-4.15625,0.05957031,0.7871094,0.2207031,-20.34375,0.34375,5.1875,152.0853,191.1879
359.027,0.02050781,0.7783203,0.5351563,-20.03125,1.9375,-4.15625,0.05957031,0.7871094,0.2207031,-20.34375,0.34375,5.1875,152.0853,191.1879
359.0601,0.1357422,0.8066406,0.5458984,-10.625,-11.625,-0.4375,0.05371094,0.7070313,0.1337891,-9.34375,-11.6875,5.71875,152.0853,192.7744
359.0959,0.1357422,0.8066406,0.5458984,-10.625,-11.625,-0.4375,0.05371094,0.7070313,0.1337891,-9.34375,-11.6875,5.71875,150.0299,191.5668
359.1269,0.1181641,0.8935547,0.5019531,1.8125,-2.46875,0.28125,0.046875,0.7480469,0.1679688,-2.34375,-3.875,2.78125,150.0299,191.5668
359.1603,0.1396484,0.8974609,0.5175781,-0.25,-1.0625,-0.5,0.046875,0.7480469,0.1679688,-2.34375,-3.875,2.78125,150.2354,191.5668
